
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
1,Isa Abdul-Quddus,NOR,23,16,1,,0,0,0,0,1,3,0,0,0,0,7,2,
2,Hamza Abdullah,ARI,28,16,0,,,,,,,,,,,,9,4,
3,Husain Abdullah,MIN,26,9,9,1.0,1,32,0,32,5,,,,,,43,5,
4,John Abraham,ATL,33,15,15,9.5,0,0,0,0,2,4,0,1,0,0,25,10,
5,Sam Acho,ARI,23,16,10,7.0,0,0,0,0,2,3,0,1,1,0,35,5,
6,Anthony Adams,CHI,31,11,4,,,,,,,,,,,,13,3,
7,Darvin Adams,CAR,21,2,0,,,,,,,,,,,,1,0,
8,Michael Adams,ARI,26,15,1,,0,0,0,0,2,1,0,0,0,0,36,5,
9,Mike Adams,CLE,30,16,16,,3,33,0,29,6,1,0,1,0,0,44,20,
10,Phillip Adams,2TM,23,7,0,,1,0,0,0,1,,,,,,7,1,
11,Joseph Addai,IND,28,12,11,,,,,,,0,1,1,0,0,2,0,
12,Mario Addison,2TM,24,7,0,,,,,,,,,,,,1,5,
13,Spencer Adkins,ATL,24,10,1,,,,,,,,,,,,6,3,
14,C.J. Ah You,STL,29,9,2,1.0,,,,,,,,,,,5,1,
15,Danny Aiken,NWE,23,16,0,,,,,,,,,,,,0,3,
16,David Akers*+,SFO,37,16,0,,,,,,,,,,,,2,0,
17,Ikaika Alama-Francis,MIA,27,5,0,,,,,,,,,,,,1,0,
18,Branden Albert,KAN,27,16,16,,,,,,,,,,,,2,0,
19,Alex Albright,DAL,23,16,0,,,,,,,,,,,,1,3,
20,Lorenzo Alexander,WAS,28,16,0,,,,,,,,,,,,9,6,
21,Mister Alexander,HOU,23,8,0,,,,,,,,,,,,3,0,
22,Asher Allen,MIN,23,13,9,,1,3,0,3,4,,,,,,43,4,
23,Cortez Allen,PIT,23,15,0,,,,,,,,,,,,12,3,
24,Jared Allen*+,MIN,29,16,16,22.0,1,14,0,14,4,4,0,4,6,0,48,18,1
25,Jason Allen,HOU,28,16,4,,4,34,0,34,12,,,,,,41,4,
26,Nate Allen,PHI,24,15,12,,2,44,0,31,7,,,,,,46,13,
27,Russell Allen,JAX,25,16,6,0.5,1,3,0,3,2,2,0,0,0,0,31,17,
28,Will Allen,MIA,33,15,6,,0,0,0,0,3,,,,,,39,4,
29,Will Allen,PIT,29,16,0,,,,,,,,,,,,6,3,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
30,Tyson Alualu,JAX,24,16,16,2.5,0,0,0,0,1,1,0,1,7,0,21,19,
31,Eugene Amano,TEN,29,16,16,,,,,,,,,,,,1,0,
32,Ken Amato,TEN,34,16,0,,,,,,,0,1,0,0,0,0,1,
33,Jonathon Amaya,NOR,23,16,0,,,,,,,1,0,0,0,0,3,4,
34,Danny Amendola,STL,26,1,1,,,,,,,0,1,1,0,0,,,
35,Prince Amukamara,NYG,22,7,0,,1,0,0,0,3,0,0,1,0,0,12,2,
36,Colt Anderson,PHI,26,12,0,,,,,,,,,,,,10,1,
37,David Anderson,2TM,28,6,0,,,,,,,,,,,,3,0,
38,Jamaal Anderson,IND,25,15,1,3.0,0,0,0,0,1,0,0,1,47,1,12,12,
39,James Anderson,CAR,28,16,16,1.5,2,5,0,5,8,0,0,3,0,0,98,47,
40,Mark Anderson,NWE,28,16,1,10.0,0,0,0,0,1,2,0,1,0,0,18,11,
41,Pat Angerer,IND,24,16,16,1.0,1,0,0,0,3,2,0,1,10,0,76,70,
42,Antwan Applewhite,CAR,27,12,1,2.0,0,0,0,0,1,1,0,0,0,0,19,6,1
43,Javier Arenas,KAN,24,15,1,1.0,2,5,0,5,6,0,1,1,0,0,25,7,
44,Anthony Armstrong,WAS,28,14,2,,,,,,,,,,,,4,1,
45,Devin Aromashodu,MIN,27,16,6,,,,,,,0,1,1,5,0,5,0,
46,Kyle Arrington,NWE,25,16,14,,7,92,0,28,13,0,0,1,0,0,66,22,
47,Jon Asamoah,KAN,23,16,16,,,,,,,0,0,1,-2,0,2,0,
48,Larry Asante,TAM,23,10,0,,,,,,,1,0,0,0,0,8,2,
49,Nnamdi Asomugha,PHI,30,16,15,,3,10,0,6,4,,,,,,35,5,
50,Geno Atkins*,CIN,23,16,15,7.5,0,0,0,0,3,2,1,2,19,1,29,21,
51,O.J. Atogwe,WAS,30,13,8,0.5,3,42,0,26,6,,,,,,35,24,
52,David Ausberry,OAK,24,12,0,,,,,,,0,0,1,0,0,7,0,
53,Terrence Austin,WAS,23,13,0,,,,,,,0,1,0,0,0,1,1,
54,Jason Avant,PHI,28,16,7,,,,,,,0,2,0,0,0,4,1,
55,Cliff Avril,DET,25,16,16,11.0,1,4,1,4,4,6,0,3,24,1,30,8,
56,Brendon Ayanbadejo,BAL,35,16,0,1.5,0,0,0,0,2,0,0,2,0,0,31,4,
57,Akeem Ayers,TEN,22,16,16,2.0,0,0,0,0,2,1,0,1,0,0,50,26,
58,Robert Ayers,DEN,26,16,13,3.0,0,0,0,0,2,1,0,1,0,0,25,16,
59,Remi Ayodele,MIN,28,16,13,1.5,,,,,,,,,,,4,11,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
60,Jason Babin*,PHI,31,16,16,18.0,0,0,0,0,2,3,0,0,0,0,35,5,
61,Jonathan Babineaux,ATL,30,13,13,1.0,0,0,0,0,3,,,,,,12,9,
62,Jordan Babineaux,TEN,29,16,14,,1,97,1,97,7,1,0,1,0,0,72,21,
63,Jeff Backus,DET,34,16,16,,,,,,,0,0,1,0,0,,,
64,Allen Bailey,KAN,22,16,0,1.0,0,0,0,0,2,0,0,1,0,0,8,2,
65,Champ Bailey*,DEN,33,13,13,,2,0,0,0,10,1,0,0,0,0,35,4,
66,Dan Bailey,DAL,23,16,0,,,,,,,,,,,,2,0,
67,Patrick Bailey,TEN,26,15,0,,,,,,,,,,,,6,3,
68,Jason Baker,CAR,33,16,0,,,,,,,,,,,,1,1,
69,Ryan Baker,MIA,27,2,0,,,,,,,,,,,,1,0,
70,Sam Baker,ATL,26,12,6,,,,,,,,,,,,1,0,
71,Doug Baldwin,SEA,23,16,1,,,,,,,,,,,,2,0,
72,Jonathan Baldwin,KAN,22,11,3,,,,,,,,,,,,1,0,
73,Alan Ball,DAL,26,16,2,,1,15,0,15,6,0,0,1,0,0,30,7,
74,Dave Ball,TEN,30,14,8,4.0,0,0,0,0,2,2,0,1,0,0,25,11,
75,Lance Ball,DEN,26,16,0,,,,,,,0,2,0,0,0,7,0,
76,Christian Ballard,MIN,22,16,2,,,,,,,,,,,,6,7,
77,Jake Ballard,NYG,24,14,13,,,,,,,,,,,,2,0,
78,Brandon Banks,WAS,24,16,0,,,,,,,0,7,5,0,0,,,
79,Justin Bannan,STL,32,15,14,,0,0,0,0,2,,,,,,25,6,
80,Marion Barber,CHI,28,11,1,,,,,,,0,1,0,0,0,2,0,
81,Ronde Barber,TAM,36,16,16,1.0,3,12,0,12,9,1,0,1,0,0,67,12,1
82,Antwan Barnes,SDG,27,16,5,11.0,0,0,0,0,1,2,0,0,0,0,34,7,
83,Kevin Barnes,WAS,25,15,1,,2,30,0,30,4,,,,,,23,3,
84,Nick Barnett,BUF,30,16,16,3.0,3,80,1,33,5,1,0,0,0,0,78,52,
85,Josh Barrett,NWE,27,5,4,,,,,,,,,,,,12,3,
86,Richard Bartel,ARI,28,2,0,,,,,,,,,,,,0,1,
87,Ronald Bartell,STL,29,1,1,,,,,,,,,,,,1,0,
88,Connor Barwin,HOU,25,16,16,11.5,0,0,0,0,7,1,0,0,0,0,36,13,
89,Danny Batten,BUF,24,16,4,0.5,,,,,,0,0,1,0,0,11,8,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
90,Arnaz Battle,PIT,31,10,0,,,,,,,,,,,,2,2,
91,Jackie Battle,KAN,28,15,4,,,,,,,,,,,,3,2,
92,Jon Beason,CAR,26,1,1,,,,,,,,,,,,4,0,
93,Will Beatty,NYG,26,10,10,,,,,,,,,,,,1,0,
94,Anthony Becht,KAN,34,10,5,,,,,,,,,,,,2,0,
95,John Beck,WAS,30,4,3,,,,,,,0,3,2,0,0,,,
96,Travis Beckum,NYG,24,13,0,,,,,,,,,,,,1,1,
97,Jovan Belcher,KAN,24,16,16,,0,0,0,0,1,,,,,,61,26,
98,Byron Bell,CAR,22,16,12,,,,,,,,,,,,1,0,
99,Jacob Bell,STL,30,12,12,,,,,,,,,,,,1,0,
100,Kahlil Bell,CHI,25,13,3,,,,,,,0,3,0,0,0,2,0,
101,Yeremiah Bell,MIA,33,16,16,2.0,1,20,0,20,4,0,0,1,0,0,81,26,
102,Nick Bellore,NYJ,22,16,0,,,,,,,,,,,,15,4,
103,Marcus Benard,CLE,26,4,0,0.5,,,,,,,,,,,2,1,
104,Arrelious Benn,TAM,23,14,14,,,,,,,,,,,,3,0,
105,Earl Bennett,CHI,24,11,4,,,,,,,0,1,0,0,0,1,0,
106,Martellus Bennett,DAL,24,14,7,,,,,,,,,,,,4,0,
107,Michael Bennett,TAM,26,14,10,4.0,,,,,,1,0,2,0,0,35,4,
108,Cedric Benson,CIN,29,15,15,,,,,,,0,5,2,0,0,1,1,
109,Kevin Bentley,2TM,32,4,0,,,,,,,,,,,,0,2,
110,Rocky Bernard,NYG,32,16,1,,0,0,0,0,2,1,0,1,0,0,15,15,
111,Aaron Berry,DET,23,11,3,,0,0,0,0,12,,,,,,26,5,
112,Davone Bess,MIA,26,16,4,,,,,,,0,5,3,0,0,1,0,
113,Jahvid Best,DET,22,6,6,,,,,,,0,0,1,0,0,,,
114,Antoine Bethea,IND,27,16,16,,0,0,0,0,7,2,0,1,0,0,80,59,
