
Rk,Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Wes Welker*+,NWE,30,16,15,173,122,1569,12.9,9,99,7.6,98.1,2
2,Roddy White*,ATL,30,16,16,180,100,1296,13.0,8,43,6.3,81.0,0
3,Jimmy Graham*,NOR,25,16,11,149,99,1310,13.2,11,59,6.2,81.9,1
4,Calvin Johnson*+,DET,26,16,16,158,96,1681,17.5,16,73,6.0,105.1,1
5,Rob Gronkowski*+,NWE,22,16,16,124,90,1327,14.7,17,52,5.6,82.9,0
6,Percy Harvin,MIN,23,16,14,121,87,967,11.1,6,52,5.4,60.4,2
7,Darren Sproles,NOR,28,16,4,111,86,710,8.3,7,39,5.4,44.4,1
8,Brandon Pettigrew,DET,26,16,16,126,83,777,9.4,5,27,5.2,48.6,0
9,Victor Cruz,NYG,25,16,7,131,82,1536,18.7,9,99,5.1,96.0,1
10,Dwayne Bowe,KAN,27,16,14,142,81,1159,14.3,5,52,5.1,72.4,1
11,Brandon Marshall*,MIA,27,16,16,141,81,1214,15.0,6,65,5.1,75.9,1
12,Marques Colston,NOR,28,14,7,107,80,1143,14.3,8,50,5.7,81.6,1
13,Larry Fitzgerald*,ARI,28,16,16,154,80,1411,17.6,8,73,5.0,88.2,0
14,Tony Gonzalez*,ATL,35,16,16,116,80,875,10.9,7,30,5.0,54.7,0
15,Aaron Hernandez,NWE,22,14,12,113,79,910,11.5,7,46,5.6,65.0,1
16,Steve Smith*,CAR,32,16,16,129,79,1394,17.6,7,77,4.9,87.1,3
17,Jason Witten,DAL,29,16,16,117,79,942,11.9,5,64,4.9,58.9,1
18,Steve Johnson,BUF,25,16,16,134,76,1004,13.2,7,55,4.8,62.8,0
19,Hakeem Nicks,NYG,23,15,15,133,76,1192,15.7,7,68,5.1,79.5,0
20,Ray Rice*,BAL,24,16,16,104,76,704,9.3,3,52,4.8,44.0,2
21,Reggie Wayne,IND,33,16,16,132,75,960,12.8,4,56,4.7,60.0,0
22,Kellen Winslow,TAM,28,16,15,120,75,763,10.2,2,37,4.7,47.7,2
23,Nate Washington,TEN,28,16,15,121,74,1023,13.8,7,57,4.6,63.9,0
24,Nate Burleson,DET,30,16,11,110,73,757,10.4,3,47,4.6,47.3,1
25,Michael Crabtree,SFO,24,15,14,115,72,874,12.1,4,52,4.8,58.3,0
26,Mike Wallace*,PIT,25,16,14,114,72,1193,16.6,8,95,4.5,74.6,1
27,Pierre Garcon,IND,25,16,16,134,70,947,13.5,6,87,4.4,59.2,2
28,Brandon Lloyd,2TM,30,15,14,148,70,966,13.8,5,44,4.7,64.4,2
29,Antonio Brown*,PIT,23,16,3,124,69,1108,16.1,2,79,4.3,69.3,0
30,Jabar Gaffney,WAS,31,16,15,114,68,947,13.9,5,45,4.3,59.2,1
