
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Antonio Brown,PIT,26,12,12,135,96,1258,13.1,11,54,8.0,104.8,2
2,Demaryius Thomas,DEN,27,12,12,137,88,1255,14.3,10,86,7.3,104.6,0
3,Matt Forte,CHI,29,13,13,107,86,724,8.4,3,56,6.6,55.7,2
4,Julio Jones,ATL,25,12,12,130,82,1169,14.3,5,41,6.8,97.4,2
5,Emmanuel Sanders,DEN,27,12,12,116,82,1152,14.0,7,48,6.8,96.0,1
6,Golden Tate,DET,26,12,12,116,80,1136,14.2,3,73,6.7,94.7,1
7,Martellus Bennett,CHI,27,13,12,108,77,821,10.7,6,37,5.9,63.2,0
8,Julian Edelman,NWE,28,12,12,112,77,743,9.6,2,44,6.4,61.9,2
9,Dez Bryant,DAL,26,13,13,118,73,1034,14.2,10,68,5.6,79.5,0
10,Alshon Jeffery,CHI,24,13,13,116,73,949,13.0,8,74,5.6,73.0,1
11,Keenan Allen,SDG,22,12,12,110,72,762,10.6,4,35,6.0,63.5,2
12,Jeremy Maclin,PHI,26,12,12,119,71,1088,15.3,9,68,5.9,90.7,0
13,Jordy Nelson,GNB,29,12,12,112,70,1119,16.0,10,80,5.8,93.3,0
14,Anquan Boldin,SFO,34,12,12,99,68,843,12.4,4,37,5.7,70.3,0
15,T.Y. Hilton,IND,25,12,12,101,68,1145,16.8,5,73,5.7,95.4,2
16,Le'Veon Bell,PIT,22,12,12,81,65,643,9.9,2,48,5.4,53.6,0
17,Randall Cobb,GNB,24,12,12,90,65,922,14.2,10,70,5.4,76.8,1
18,Jimmy Graham,NOR,28,12,10,89,65,670,10.3,9,27,5.4,55.8,1
19,Rob Gronkowski,NWE,25,12,7,102,65,910,14.0,9,46,5.4,75.8,0
20,Andre Johnson,HOU,33,12,12,114,65,720,11.1,2,26,5.4,60.0,3
21,Brandon Marshall,CHI,30,13,13,106,61,721,11.8,8,47,4.7,55.5,1
22,Greg Olsen,CAR,29,12,12,93,61,778,12.8,5,38,5.1,64.8,0
23,DeAndre Hopkins,HOU,22,12,12,90,60,1041,17.4,6,76,5.0,86.8,1
24,James Jones,OAK,30,12,7,91,60,578,9.6,4,42,5.0,48.2,3
25,Kelvin Benjamin,CAR,23,12,11,110,57,824,14.5,8,51,4.8,68.7,1
26,Jarvis Landry,MIA,22,12,7,77,57,518,9.1,5,25,4.8,43.2,3
27,Rueben Randle,NYG,23,12,11,101,56,609,10.9,2,27,4.7,50.8,0
28,Roddy White,ATL,33,10,10,89,56,662,11.8,5,39,5.6,66.2,1
29,Jordan Matthews,PHI,22,12,8,82,54,686,12.7,7,40,4.5,57.2,0
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
30,Steve Smith,BAL,35,12,11,94,54,819,15.2,5,80,4.5,68.3,1
31,Mike Wallace,MIA,28,12,12,98,54,661,12.2,7,50,4.5,55.1,2
32,Reggie Wayne,IND,36,11,11,95,54,636,11.8,2,46,4.9,57.8,0
33,Brandin Cooks,NOR,21,10,7,69,53,550,10.4,3,50,5.3,55.0,1
34,Mike Evans,TAM,21,11,11,90,53,890,16.8,8,56,4.8,80.9,0
35,Brandon LaFell,NWE,28,12,9,86,53,712,13.4,7,56,4.4,59.3,0
36,DeMarco Murray,DAL,26,13,13,60,53,392,7.4,0,34,4.1,30.2,5
37,Andrew Hawkins,CLE,28,11,11,90,52,718,13.8,2,65,4.7,65.3,0
38,Michael Crabtree,SFO,27,12,12,86,51,577,11.3,4,51,4.3,48.1,0
39,Larry Donnell,NYG,26,12,10,72,51,516,10.1,6,32,4.3,43.0,4
40,Heath Miller,PIT,32,12,12,68,51,583,11.4,2,49,4.3,48.6,1
41,Mohamed Sanu,CIN,25,12,10,89,51,738,14.5,5,76,4.3,61.5,0
42,Sammy Watkins,BUF,21,12,12,98,51,695,13.6,5,84,4.3,57.9,0
43,Kendall Wright,TEN,25,12,10,83,51,633,12.4,5,48,4.3,52.8,1
44,Vincent Jackson,TAM,31,12,12,107,50,702,14.0,2,40,4.2,58.5,1
45,Eric Decker,NYJ,27,11,11,80,49,531,10.8,4,34,4.5,48.3,0
46,Pierre Garcon,WAS,28,12,10,77,49,507,10.3,3,70,4.1,42.3,0
47,Calvin Johnson,DET,29,9,9,90,49,724,14.8,5,67,5.4,80.4,0
48,Robert Woods,BUF,22,12,12,82,49,550,11.2,3,37,4.1,45.8,1
49,Doug Baldwin,SEA,26,12,12,70,48,519,10.8,2,49,4.0,43.3,0
50,Odell Beckham,NYG,22,8,7,67,48,699,14.6,5,59,6.0,87.4,0
51,Allen Robinson,JAX,21,10,8,81,48,548,11.4,2,54,4.8,54.8,0
52,Miles Austin,CLE,30,12,11,73,47,568,12.1,2,31,3.9,47.3,0
53,Antonio Gates,SDG,34,12,12,68,47,574,12.2,9,34,3.9,47.8,0
54,Jermaine Gresham,CIN,26,12,12,62,47,355,7.6,2,23,3.9,29.6,2
55,DeSean Jackson,WAS,28,12,10,78,47,942,20.0,5,81,3.9,78.5,0
56,Dwayne Bowe,KAN,30,11,11,72,46,569,12.4,0,33,4.2,51.7,1
57,Andre Ellington,ARI,25,12,12,64,46,395,8.6,2,81,3.8,32.9,2
58,Larry Fitzgerald,ARI,31,10,9,69,46,658,14.3,2,80,4.6,65.8,1
59,Jason Witten,DAL,32,13,13,68,46,495,10.8,4,34,3.5,38.1,0
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
60,A.J. Green,CIN,26,9,9,74,45,686,15.2,5,77,5.0,76.2,2
61,Greg Jennings,MIN,31,12,9,72,45,546,12.1,4,38,3.8,45.5,1
62,Travis Kelce,KAN,25,12,7,57,44,578,13.1,4,34,3.7,48.2,2
63,Kenny Stills,NOR,22,11,6,57,44,691,15.7,3,69,4.0,62.8,1
64,Shane Vereen,NWE,25,12,5,64,44,379,8.6,3,49,3.7,31.6,0
65,Delanie Walker,TEN,30,11,10,75,44,673,15.3,4,68,4.0,61.2,1
66,Riley Cooper,PHI,27,12,12,75,43,457,10.6,1,50,3.6,38.1,1
67,Fred Jackson,BUF,33,10,5,55,43,340,7.9,1,28,4.3,34.0,4
68,Eddie Royal,SDG,28,12,8,62,43,532,12.4,6,47,3.6,44.3,1
69,Marques Colston,NOR,31,12,11,68,41,634,15.5,3,57,3.4,52.8,1
70,Percy Harvin,2TM,26,10,9,61,41,315,7.7,0,42,4.1,31.5,2
71,Mychal Rivera,OAK,24,12,7,68,41,355,8.7,3,33,3.4,29.6,3
72,Markus Wheaton,PIT,23,12,10,71,41,503,12.3,2,47,3.4,41.9,0
73,Julius Thomas,DEN,26,10,10,54,40,426,10.7,12,35,4.0,42.6,1
74,John Brown,ARI,24,12,4,75,39,569,14.6,5,75,3.3,47.4,0
75,Charles Clay,MIA,25,10,10,58,39,346,8.9,2,25,3.9,34.6,0
76,Owen Daniels,BAL,32,11,9,57,39,385,9.9,3,30,3.5,35.0,0
77,Malcom Floyd,SDG,33,12,12,61,39,689,17.7,4,59,3.3,57.4,0
78,Ahmad Bradshaw,IND,28,10,1,47,38,300,7.9,6,22,3.8,30.0,3
79,Roy Helu,WAS,26,12,0,42,38,436,11.5,2,55,3.2,36.3,2
80,Cecil Shorts,JAX,27,9,7,72,38,416,10.9,1,53,4.2,46.2,1
81,Torrey Smith,BAL,25,12,12,70,38,609,16.0,8,40,3.2,50.8,0
82,Jared Cook,STL,27,12,6,71,37,473,12.8,1,59,3.1,39.4,0
83,Coby Fleener,IND,26,12,8,63,35,594,17.0,6,73,2.9,49.5,0
84,Justin Forsett,BAL,29,12,10,47,35,227,6.5,0,26,2.9,18.9,1
85,Andre Holmes,OAK,26,12,9,69,35,502,14.3,4,77,2.9,41.8,0
86,Allen Hurns,JAX,23,12,7,68,35,530,15.1,5,63,2.9,44.2,0
87,Steve Johnson,SFO,28,12,1,48,35,435,12.4,3,32,2.9,36.3,0
88,Niles Paul,WAS,25,12,5,47,35,464,13.3,1,50,2.9,38.7,1
89,Wes Welker,DEN,33,10,7,49,35,294,8.4,2,39,3.5,29.4,0
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
90,Davante Adams,GNB,22,12,7,54,34,417,12.3,3,45,2.8,34.8,0
91,Jace Amaro,NYJ,22,11,4,46,34,291,8.6,2,43,3.1,26.5,1
92,Travaris Cadet,NOR,25,12,1,45,34,274,8.1,1,31,2.8,22.8,2
93,Jerricho Cotchery,CAR,32,11,11,63,34,453,13.3,0,47,3.1,41.2,0
94,Zach Ertz,PHI,24,12,3,58,34,460,13.5,2,27,2.8,38.3,1
95,Pierre Thomas,NOR,30,8,3,41,34,257,7.6,1,19,4.3,32.1,0
